pond,sexo,region,edad,satisfaccion_vida,satisfaccion_chilenos,eval_econ
1.339168839,2,13,18,8,3,1
1.265635799,2,1,57,10,5,2
0.604509991,2,14,25,10,10,4
1.030286506,2,13,37,8,5,3
0.674731757,2,14,50,5,5,2
0.292365209,2,8,60,9,5,2
0.69358657,2,9,66,9,5,4
1.339168839,2,13,19,6,8,2
0.786882058,2,7,34,6,7,3
1.030286506,2,13,39,10,10,3
0.496042009,2,7,76,5,6,2
0.554547303,2,6,49,10,5,4
1.379259028,2,13,32,8,5,4
1.030286506,2,13,44,9,6,3
0.577238155,2,14,61,8,6,2
1.235067368,2,7,40,6,7,3
1.657836476,2,11,63,7,4,2
1.221825329,2,8,22,10,5,4
0.496042009,2,7,68,10,5,3
1.174752514,2,6,31,2,88,3
0.64190234,2,5,72,10,5,3
0.577238155,2,14,66,10,5,4
1.473347004,2,10,37,10,1,2
0.475814327,2,7,24,4,6,1
0.310246457,2,6,63,8,6,2
0.939310387,2,8,44,9,3,3
1.139149282,2,4,52,10,1,1
0.846971838,2,13,59,10,8,4
0.69358657,2,9,59,7,3,3
1.379259028,2,13,33,7,7,3
1.030286506,2,13,35,10,10,4
0.577238155,2,14,62,10,5,3
1.14642748,2,6,20,7,5,2
0.479715516,2,8,63,6,4,2
0.598695995,2,7,49,6,6,3
0.479715516,2,8,73,10,1,3
0.3720101,2,12,21,8,6,3
0.604509991,2,14,25,7,4,3
1.379259028,2,13,32,7,3,3
0.155724893,2,13,44,1,2,2
0.496042009,2,7,64,10,88,4
0.929676631,2,10,63,8,5,3
0.846971838,2,13,70,5,6,2
1.139149282,2,4,46,10,5,3
0.554547303,2,6,50,7,10,3
1.379259028,2,13,26,8,7,3
0.92149875,2,13,49,6,7,2
0.846971838,2,13,75,7,5,4
0.92149875,2,13,48,10,1,2
0.846971838,2,13,78,5,6,3
0.64190234,2,5,74,10,4,2
1.379259028,2,13,32,5,6,5
1.339168839,2,13,20,7,4,3
1.546985241,2,10,26,7,4,2
1.221825329,2,8,20,3,5,2
1.030286506,2,13,37,10,4,2
0.756727078,2,7,53,4,7,1
0.472654733,2,5,38,10,3,3
0.27236362,2,4,80,9,6,2
0.64190234,2,5,81,10,10,3
0.846971838,2,13,78,7,9,2
0.846971838,2,13,88,8,4,3
0.64190234,2,5,97,7,5,3
0.292365209,2,8,86,5,5,4
0.491476304,2,6,85,3,6,3
0.479715516,2,8,76,10,10,3
0.479715516,2,8,79,4,4,3
0.479715516,2,8,78,7,5,3
0.628322542,2,10,77,10,6,3
0.29348065,2,9,76,4,4,4
0.292365209,2,8,82,6,5,3
0.479715516,2,8,72,6,5,2
0.479715516,2,8,59,9,7,3
0.292365209,2,8,75,7,88,2
0.27236362,2,4,71,5,5,3
0.27236362,2,4,74,6,5,3
0.491476304,2,6,58,10,5,3
0.27236362,2,4,67,5,4,3
0.929676631,2,10,73,8,6,2
0.766008921,2,4,58,9,9,2
0.846971838,2,13,63,7,4,3
0.846971838,2,13,56,8,5,3
0.292365209,2,8,66,4,4,3
0.846971838,2,13,74,7,5,3
0.29348065,2,9,74,5,4,2
0.46170604,2,7,73,3,7,2
0.846971838,2,13,78,6,5,1
0.846971838,2,13,71,9,6,1
0.479715516,2,8,72,8,6,4
0.69358657,2,9,72,5,5,3
0.846971838,2,13,77,3,3,2
0.628322542,2,10,70,6,6,3
0.846971838,2,13,70,8,6,1
0.292365209,2,8,73,4,88,3
0.64190234,2,5,78,3,3,3
0.155724893,2,13,37,4,88,3
0.846971838,2,13,67,5,3,3
0.846971838,2,13,66,9,5,4
0.766008921,2,4,82,7,5,3
0.64190234,2,5,61,4,5,3
0.64190234,2,5,78,6,4,3
0.479715516,2,8,83,8,7,3
0.496042009,2,7,89,4,6,3
1.657836476,2,11,80,6,6,8
0.479715516,2,8,87,5,5,3
0.46170604,2,7,67,5,7,2
0.492434306,2,4,53,7,3,3
0.64190234,2,5,74,8,9,4
0.92149875,2,13,54,6,5,2
0.846971838,2,13,75,7,7,4
0.493033687,2,10,44,5,5,2
0.554547303,2,6,46,5,7,3
0.554547303,2,6,47,8,7,3
0.375144007,2,6,46,1,1,1
0.479715516,2,8,66,7,5,3
0.929676631,2,10,70,10,5,3
0.654158717,2,2,65,4,4,3
0.479715516,2,8,59,10,5,2
0.766008921,2,4,66,5,5,9
0.388573566,2,2,50,10,5,1
0.27236362,2,4,57,8,5,3
0.740809231,2,4,43,9,5,2
0.69358657,2,9,56,5,3,3
0.846971838,2,13,55,9,9,3
0.577238155,2,14,62,4,4,2
0.846971838,2,13,70,8,5,3
0.846971838,2,13,60,8,6,4
1.339168839,2,13,24,10,5,3
0.378714605,2,14,78,10,5,2
0.64190234,2,5,84,10,6,3
1.235067368,2,7,43,6,5,2
0.64190234,2,5,68,10,88,2
0.92149875,2,13,50,7,5,4
0.565495996,2,9,50,1,3,3
0.27236362,2,4,69,8,6,2
0.27236362,2,4,66,5,5,3
0.565495996,2,9,50,10,5,4
0.989372532,2,5,52,10,4,3
0.565495996,2,9,52,5,5,3
0.92149875,2,13,47,7,5,3
0.64190234,2,5,73,9,6,2
0.766008921,2,4,84,4,4,3
0.496042009,2,7,59,7,6,3
0.786882058,2,7,27,6,5,2
0.846971838,2,13,70,10,3,2
0.754747408,2,5,43,9,7,3
0.846971838,2,13,62,10,5,3
0.846971838,2,13,68,1,88,2
0.91319977,2,8,29,6,7,2
0.598695995,2,7,49,5,6,3
0.846971838,2,13,80,8,5,3
0.404787678,2,15,42,1,5,3
0.479715516,2,8,78,5,5,3
0.64190234,2,5,59,5,4,2
1.503127677,2,5,21,6,4,2
0.92149875,2,13,49,5,3,3
0.491476304,2,6,64,8,6,3
0.469931831,2,14,38,10,10,4
0.491476304,2,6,65,3,3,2
0.496042009,2,7,84,6,4,3
1.379259028,2,13,34,3,3,3
1.379259028,2,13,25,5,4,2
0.496042009,2,7,59,3,4,1
1.483793358,2,4,38,7,4,3
0.256851885,2,5,47,8,6,3
0.479715516,2,8,61,7,5,3
0.740809231,2,4,39,8,7,3
0.740809231,2,4,40,8,5,3
0.479715516,2,8,75,7,3,3
0.91319977,2,8,32,5,5,2
0.64190234,2,5,80,8,88,3
1.235067368,2,7,42,10,4,2
0.846971838,2,13,68,10,10,3
1.030286506,2,13,41,8,6,3
0.714765515,2,2,32,8,6,3
0.388573566,2,2,54,8,7,3
0.846971838,2,13,62,5,4,2
0.754747408,2,5,42,8,5,2
0.740809231,2,4,38,10,5,2
0.703947299,2,8,24,8,3,4
0.829523735,2,9,31,7,4,3
0.846971838,2,13,58,4,4,3
0.754747408,2,5,43,5,5,3
1.030286506,2,13,35,8,4,1
0.91319977,2,8,26,10,3,3
0.496042009,2,7,83,7,7,2
0.771146472,2,3,27,8,4,3
0.479715516,2,8,85,5,5,3
0.598695995,2,7,53,7,5,2
1.339168839,2,13,22,10,10,2
0.829523735,2,9,28,5,5,3
0.501904526,2,3,55,10,8,3
0.91319977,2,8,34,6,5,3
1.339168839,2,13,19,8,8,3
1.030286506,2,13,37,3,3,2
1.030286506,2,13,35,8,5,3
0.846971838,2,13,57,5,5,2
0.846971838,2,13,56,3,5,2
0.92149875,2,13,49,8,5,3
0.491476304,2,6,75,10,88,3
0.92149875,2,13,45,1,4,2
0.92149875,2,13,50,8,6,1
1.100600521,2,2,18,8,5,3
0.479715516,2,8,56,8,7,3
4.102540332,2,12,44,1,2,1
0.491476304,2,6,70,4,4,9
0.3720101,2,12,22,10,88,3
0.754747408,2,5,43,8,3,3
1.030286506,2,13,40,9,6,4
0.846971838,2,13,77,8,5,4
1.379259028,2,13,25,10,6,3
1.092448939,2,8,46,10,5,3
0.485827415,2,9,39,10,88,3
0.846971838,2,13,76,5,5,4
0.392714433,2,12,33,8,6,3
0.388573566,2,2,54,8,4,2
1.379259028,2,13,33,6,4,3
0.604509991,2,14,30,10,5,4
1.174752514,2,6,28,8,4,3
0.62066759,2,15,20,7,5,3
0.846971838,2,13,65,10,4,3
0.64190234,2,5,58,9,88,1
0.786882058,2,7,25,9,3,3
1.538708075,2,5,25,6,5,4
0.91319977,2,8,25,9,8,3
0.846971838,2,13,65,10,4,3
0.92149875,2,13,49,7,5,3
0.989372532,2,5,49,10,9,2
0.92149875,2,13,48,7,7,4
0.479715516,2,8,63,9,9,3
0.786882058,2,7,26,7,6,3
0.766008921,2,4,63,10,1,1
0.92149875,2,13,52,5,4,3
0.92149875,2,13,52,7,6,4
0.491476304,2,6,58,10,2,3
0.846971838,2,13,58,10,4,4
0.485827415,2,9,40,9,6,4
1.030286506,2,13,37,9,5,1
0.64190234,2,5,69,10,4,2
1.379259028,2,13,30,10,7,3
0.989372532,2,5,53,10,6,4
0.496042009,2,7,60,6,6,4
0.91319977,2,8,31,8,5,2
0.993396948,2,5,30,6,6,3
0.621496938,1,9,44,10,7,4
0.989372532,2,5,51,9,6,2
0.388573566,2,2,52,9,5,3
1.339168839,2,13,19,7,6,4
0.92149875,2,13,50,8,6,3
0.846971838,2,13,79,6,4,4
1.030286506,2,13,36,9,10,3
1.317312624,1,13,54,7,5,3
1.039391632,1,13,57,8,4,4
1.146470293,1,7,41,8,5,4
2.485029524,1,13,25,10,10,3
1.317312624,1,13,45,10,10,3
1.039391632,1,13,80,10,6,2
0.92149875,2,13,53,10,5,3
0.785839869,1,10,67,10,4,2
0.878562398,2,10,50,6,5,3
0.475814327,2,7,24,9,5,3
0.404787678,2,15,36,9,5,4
0.878562398,2,10,46,10,5,3
1.169101207,1,2,32,8,7,4
2.485029524,1,13,34,9,5,4
0.491476304,2,6,71,7,4,2
0.91319977,2,8,33,10,4,3
0.54927275,1,10,60,8,5,3
1.030286506,2,13,44,8,6,3
0.704640869,1,3,67,7,3,2
0.722750737,1,8,60,5,4,2
0.418453565,2,14,51,4,4,2
1.317312624,1,13,50,8,5,5
1.914970926,1,6,51,10,6,4
1.146470293,1,7,42,10,5,4
0.46170604,2,7,58,6,6,3
1.104881814,1,5,50,10,7,2
8.611974738,2,4,26,8,2,2
1.273667504,2,9,21,7,6,2
0.310246457,2,6,72,6,5,3
1.770297477,2,1,19,8,6,3
1.889129042,1,5,44,8,5,2
1.410771627,1,3,52,10,7,3
1.473347004,2,10,41,8,5,4
0.823916465,1,2,57,7,5,1
2.269359225,1,2,53,9,7,1
1.339168839,2,13,19,9,6,2
1.888444035,1,8,41,8,88,3
0.92149875,2,13,51,10,10,3
0.496042009,2,7,66,4,6,3
0.46170604,2,7,64,5,7,2
1.039391632,1,13,88,6,7,3
0.436075367,1,8,69,10,4,3
1.379259028,2,13,34,8,6,3
0.704640869,1,3,67,8,6,3
0.720162202,1,5,57,9,5,3
0.720162202,1,5,76,7,5,3
0.92149875,2,13,48,2,1,1
1.375733526,1,8,50,7,7,4
0.654158717,2,2,59,7,5,3
0.939310387,2,8,35,8,5,3
0.76498141,2,3,19,8,7,2
1.030286506,2,13,41,10,5,2
1.146470293,1,7,43,7,4,3
0.54927275,1,10,60,8,4,3
1.146470293,1,7,43,8,4,4
0.823916465,1,2,58,8,3,2
0.714765515,2,2,33,8,7,2
0.846971838,2,13,59,6,6,2
0.766008921,2,4,80,10,4,3
0.404787678,2,15,39,9,8,1
0.720162202,1,5,69,6,4,2
0.785839869,1,10,65,7,5,3
1.169101207,1,2,26,7,5,4
0.491476304,2,6,62,7,5,2
1.221825329,2,8,22,7,4,2
0.681568125,1,6,62,10,6,3
0.72856351,1,2,43,8,7,3
0.64190234,2,5,60,9,5,3
0.809449772,1,6,60,9,6,3
1.175300519,1,15,30,8,7,3
2.285234259,1,6,43,10,5,3
1.538708075,2,5,25,8,5,4
0.359166222,2,14,40,7,5,2
0.69358657,2,9,72,10,6,2
1.030286506,2,13,35,10,5,2
1.591681939,1,5,18,5,7,3
0.722750737,1,8,77,10,7,3
0.712270132,2,6,29,10,6,3
0.939310387,2,8,35,2,4,2
1.534107112,1,10,25,9,7,3
0.771146472,2,3,31,10,5,3
0.87874735,1,10,53,8,5,2
2.455338587,1,6,50,10,5,2
0.46170604,2,7,56,4,6,3
0.577238155,2,14,64,10,5,3
0.809449772,1,6,65,8,3,3
2.485029524,1,13,33,10,7,3
1.589132303,1,13,41,7,5,3
0.92149875,2,13,45,10,10,4
0.501904526,2,3,74,9,2,3
0.64190234,2,5,73,8,6,3
0.87874735,1,10,51,8,5,2
1.473347004,2,10,37,10,5,1
0.388573566,2,2,54,7,3,3
0.493033687,2,10,42,10,7,4
1.956482342,2,3,38,7,4,2
0.929676631,2,10,62,9,4,2
0.50230868,2,8,47,7,10,4
1.030286506,2,13,40,6,4,2
0.655037809,2,3,54,4,4,3
1.339168839,2,13,19,8,3,4
2.487910663,1,7,47,7,4,2
0.500603013,2,15,69,6,6,2
0.846971838,2,13,65,9,7,4
1.213592403,1,14,29,10,6,3
1.027510289,2,10,18,7,7,1
0.812395302,1,7,58,6,5,4
1.030286506,2,13,39,4,6,3
0.628322542,2,10,59,9,6,3
1.242516817,2,1,44,5,5,2
0.87783629,1,7,53,4,7,2
1.039391632,1,13,67,10,8,3
0.846971838,2,13,67,10,4,2
0.479715516,2,8,59,3,3,2
0.846971838,2,13,58,10,3,2
1.030286506,2,13,41,7,4,3
0.469931831,2,14,37,7,5,3
0.874792903,1,8,53,7,6,3
1.039391632,1,13,56,7,7,4
1.092448939,2,8,45,10,1,1
1.039391632,1,13,74,6,6,2
0.722750737,1,8,69,10,5,3
0.823916465,1,2,68,8,3,2
0.754747408,2,5,39,10,4,2
0.64190234,2,5,74,6,4,3
0.501904526,2,3,78,5,5,2
1.600861031,1,10,19,8,5,4
1.174752514,2,6,32,10,10,3
0.785839869,1,10,65,5,4,2
0.469931831,2,14,40,5,5,3
1.889129042,1,5,36,9,5,3
1.379259028,2,13,29,9,9,1
1.104881814,1,5,53,8,8,3
1.339168839,2,13,18,6,5,3
1.339168839,2,13,18,7,5,1
0.712270132,2,6,31,8,2,3
1.14642748,2,6,20,9,88,2
0.91319977,2,8,28,7,4,3
1.589132303,1,13,42,9,3,3
2.485029524,1,13,31,7,4,3
1.039391632,1,13,62,10,1,1
0.829523735,2,9,34,10,6,3
0.704640869,1,3,70,8,5,3
0.809449772,1,6,62,10,88,4
3.571420263,1,6,23,9,6,4
0.878562398,2,10,46,5,5,1
1.175300519,1,15,25,7,6,3
0.214092044,1,12,50,8,8,3
1.410771627,1,3,50,10,7,2
0.87874735,1,10,49,10,7,4
0.375144007,2,6,49,9,6,3
0.418453565,2,14,53,4,4,2
0.846971838,2,13,62,10,10,3
1.030286506,2,13,35,6,5,2
0.846971838,2,13,69,10,10,3
0.846971838,2,13,70,7,4,3
1.339168839,2,13,23,8,5,3
0.71000961,1,4,82,7,6,3
1.317312624,1,13,45,8,5,2
1.027510289,2,10,23,8,7,3
1.503127677,2,5,24,9,5,3
1.339168839,2,13,24,10,5,3
1.534107112,1,10,34,10,4,2
0.939310387,2,8,35,6,7,2
0.785839869,1,10,73,7,5,2
0.93713342,1,9,61,6,6,3
1.292453817,1,9,31,8,5,2
1.589132303,1,13,42,7,6,4
1.759508619,2,13,31,10,1,2
1.317312624,1,13,53,7,4,2
2.485029524,1,13,29,8,7,4
0.256851885,2,5,54,8,5,4
0.50230868,2,8,46,10,4,2
1.221825329,2,8,24,7,5,3
0.585680865,1,7,68,7,6,4
0.714765515,2,2,28,8,5,3
1.308739855,1,1,37,7,5,3
0.740355414,1,15,61,7,7,4
2.674506532,1,14,71,10,5,3
0.375144007,2,6,45,9,6,3
0.378714605,2,14,56,5,5,3
0.846971838,2,13,70,9,88,3
0.479715516,2,8,55,7,88,3
0.929676631,2,10,66,8,5,2
0.408723043,1,10,50,5,4,3
1.039391632,1,13,76,10,5,2
0.310246457,2,6,75,7,4,3
0.720162202,1,5,59,9,6,3
0.491476304,2,6,86,7,4,3
1.503127677,2,5,20,10,5,3
0.846971838,2,13,63,8,4,3
0.155724893,2,13,43,1,5,4
0.92149875,2,13,49,10,10,3
0.92149875,2,13,52,6,4,2
0.64190234,2,5,65,6,6,3
0.878562398,2,10,50,8,5,3
0.846971838,2,13,66,10,10,3
1.030286506,2,13,37,7,6,3
0.93713342,1,9,82,99,99,2
0.504147923,1,5,74,9,6,3
0.92149875,2,13,51,6,7,4
0.846971838,2,13,57,4,4,2
0.846971838,2,13,57,2,4,3
0.370177707,1,5,53,8,7,4
0.69358657,2,9,66,9,7,4
0.585680865,1,7,70,3,7,1
1.589132303,1,13,38,8,6,1
0.46170604,2,7,57,6,5,3
1.589132303,1,13,41,10,10,3
1.104881814,1,5,46,4,5,3
0.408723043,1,10,45,8,7,3
0.754747408,2,5,41,5,4,2
0.87874735,1,10,53,1,4,1
1.888444035,1,8,37,6,5,2
0.310246457,2,6,66,6,1,3
0.310246457,2,6,71,10,88,8
0.874792903,1,8,47,9,4,2
0.64190234,2,5,59,10,5,2
1.213592403,1,14,31,5,3,1
0.392714433,2,12,28,10,6,3
0.479715516,2,8,60,8,4,3
0.712270132,2,6,30,8,6,3
0.547423232,2,6,40,10,1,3
1.379259028,2,13,30,7,6,3
1.480436825,2,6,23,8,4,3
0.64190234,2,5,70,10,6,3
1.030286506,2,13,37,10,10,2
0.846971838,2,13,57,4,5,3
1.039391632,1,13,88,6,6,3
2.269359225,1,2,51,7,3,3
0.722750737,1,8,80,7,5,1
1.317312624,1,13,49,9,7,3
0.491476304,2,6,55,2,5,4
1.889129042,1,5,44,8,6,2
0.479715516,2,8,62,9,5,2
0.809449772,1,6,61,9,7,3
0.91319977,2,8,25,7,4,1
2.846655606,1,5,30,6,4,4
0.754747408,2,5,35,7,6,3
0.598695995,2,7,54,6,5,3
0.714765515,2,2,27,8,5,3
0.818052317,2,10,29,10,6,2
0.754747408,2,5,39,9,5,4
1.546985241,2,10,30,7,6,3
1.339168839,2,13,18,8,6,3
1.039391632,1,13,62,9,7,3
0.87783629,1,7,54,7,4,4
0.846971838,2,13,56,7,4,3
2.774997038,2,1,31,10,5,3
0.950207265,2,7,26,7,7,3
0.577238155,2,14,57,10,6,1
0.720162202,1,5,93,6,5,2
0.485827415,2,9,42,4,4,4
0.939310387,2,8,42,8,6,3
0.741194547,2,2,38,6,5,3
1.589132303,1,13,42,8,6,3
1.339168839,2,13,20,10,5,3
0.500603013,2,15,62,7,7,3
0.786882058,2,7,27,6,7,3
0.392714433,2,12,32,5,3,1
0.722750737,1,8,64,6,7,2
2.170101731,1,4,38,10,10,3
1.589132303,1,13,42,8,5,3
0.9886704,2,14,25,7,4,3
0.720162202,1,5,57,4,4,2
0.479715516,2,8,57,5,5,2
0.92149875,2,13,49,8,6,3
0.812395302,1,7,84,5,3,3
0.29348065,2,9,80,7,7,3
0.71000961,1,4,78,7,5,2
0.722750737,1,8,77,7,1,3
0.64190234,2,5,74,7,6,3
0.436075367,1,8,75,8,88,2
0.585680865,1,7,73,6,5,3
0.519663329,1,9,72,6,5,2
0.785839869,1,10,68,8,5,3
0.292365209,2,8,64,10,88,4
0.54927275,1,10,62,10,6,2
0.547842798,1,9,54,10,5,2
1.119986215,1,11,86,10,5,3
0.436075367,1,8,72,4,4,3
0.292365209,2,8,70,10,88,2
0.722750737,1,8,83,6,6,3
0.71000961,1,4,80,6,5,3
0.722750737,1,8,77,6,3,2
0.436075367,1,8,77,4,4,3
0.436075367,1,8,72,8,6,3
0.93713342,1,9,72,7,88,3
0.64190234,2,5,71,6,5,3
0.46170604,2,7,65,4,5,4
0.408723043,1,10,52,7,7,2
0.292365209,2,8,88,5,5,3
0.479715516,2,8,70,10,4,2
0.29348065,2,9,55,4,4,2
0.29348065,2,9,65,10,6,3
0.519663329,1,9,63,5,5,3
0.479715516,2,8,60,7,9,2
0.54927275,1,10,58,10,5,4
0.519663329,1,9,58,6,5,3
1.039391632,1,13,57,3,6,2
1.104881814,1,5,51,7,5,3
1.375733526,1,8,50,6,5,2
1.265635799,2,1,81,5,5,3
1.345319222,2,13,68,7,4,3
0.846971838,2,13,68,6,5,3
0.64190234,2,5,81,8,6,3
0.29348065,2,9,72,7,6,2
0.681568125,1,6,79,1,1,2
0.29348065,2,9,68,6,3,2
0.64190234,2,5,66,7,3,2
0.69358657,2,9,69,7,6,2
1.039391632,1,13,69,5,1,1
1.119986215,1,11,69,6,5,2
1.119986215,1,11,68,5,6,3
0.722750737,1,8,61,7,5,3
0.69358657,2,9,56,10,5,2
0.846971838,2,13,65,6,6,2
0.756727078,2,7,49,99,99,3
4.362911439,1,10,44,8,5,3
1.265635799,2,1,69,5,5,3
0.846971838,2,13,77,7,8,2
0.878562398,2,10,45,10,1,4
0.846971838,2,13,58,9,5,2
0.809449772,1,6,83,4,4,3
0.29348065,2,9,69,6,5,3
0.585680865,1,7,70,99,99,3
0.519663329,1,9,70,6,5,3
0.504147923,1,5,70,7,6,3
1.039391632,1,13,70,8,8,4
0.812709263,1,12,69,8,7,2
0.654158717,2,2,61,8,6,1
0.436075367,1,8,64,5,5,3
1.092448939,2,8,54,2,2,2
0.496042009,2,7,76,6,5,3
0.87874735,1,10,53,9,7,3
1.092448939,2,8,48,5,4,2
1.103905679,2,8,43,7,5,4
2.091497194,1,13,34,10,3,2
0.496042009,2,7,79,4,4,3
0.496042009,2,7,69,7,5,2
0.64190234,2,5,69,6,6,3
0.722750737,1,8,78,8,7,3
0.955841447,2,5,75,9,6,3
0.29348065,2,9,72,7,7,2
0.29348065,2,9,75,7,5,3
0.681568125,1,6,74,6,6,2
0.585680865,1,7,74,4,7,1
0.720162202,1,5,71,8,9,3
4.433501396,1,13,70,10,7,2
0.292365209,2,8,70,8,4,2
0.766008921,2,4,69,1,1,9
0.46170604,2,7,64,3,6,2
0.292365209,2,8,83,8,5,3
0.720162202,1,5,65,9,88,3
0.29348065,2,9,60,5,5,3
0.491476304,2,6,56,10,4,3
0.292365209,2,8,58,10,6,3
0.310246457,2,6,59,5,5,2
0.29348065,2,9,61,7,88,3
0.437102877,2,10,48,8,5,1
0.547842798,1,9,54,5,4,3
0.939310387,2,8,36,7,3,3
0.496042009,2,7,70,5,8,2
0.874792903,1,8,51,8,8,2
0.950207265,2,7,34,7,6,3
1.030286506,2,13,42,7,6,4
0.747205482,1,13,44,10,7,4
0.92149875,2,13,52,9,6,3
0.496042009,2,7,69,6,3,3
0.155724893,2,13,42,5,5,3
0.310246457,2,6,63,4,5,3
0.292365209,2,8,72,9,99,4
0.784478418,1,4,72,10,6,3
0.766008921,2,4,64,99,99,9
0.479715516,2,8,69,10,5,2
1.030286506,2,13,42,8,6,3
0.310246457,2,6,61,2,3,8
4.887044437,1,9,35,9,7,3
0.846971838,2,13,63,7,6,3
1.538708075,2,5,30,10,5,3
0.93713342,1,9,85,5,5,3
0.846971838,2,13,76,3,3,2
0.784478418,1,4,72,10,5,3
0.722750737,1,8,72,8,8,3
0.69358657,2,9,70,6,6,3
0.846971838,2,13,66,10,6,3
0.436075367,1,8,70,5,88,3
0.720162202,1,5,67,6,5,4
0.846971838,2,13,63,10,1,3
0.823916465,1,2,65,3,3,1
0.628322542,2,10,63,7,5,3
1.039391632,1,13,64,10,1,4
0.70199503,1,14,63,10,5,4
0.823916465,1,2,63,7,6,4
0.479715516,2,8,62,6,5,2
1.039391632,1,13,59,6,88,4
0.492434306,2,4,52,8,4,2
0.785839869,1,10,55,4,1,3
0.479715516,2,8,81,7,5,3
0.722750737,1,8,55,10,4,3
0.654158717,2,2,76,6,5,3
0.989372532,2,5,53,5,6,3
1.939425671,2,9,51,9,8,2
0.874792903,1,8,50,4,3,1
0.408723043,1,10,49,5,2,3
1.317312624,1,13,49,9,5,3
0.874792903,1,8,48,6,5,3
1.317312624,1,13,48,7,5,4
0.754747408,2,5,44,7,4,2
0.730491315,1,1,46,9,6,3
1.503127677,2,5,18,7,8,2
0.754747408,2,5,41,6,6,3
1.567501196,2,6,36,7,7,3
1.092448939,2,8,47,9,88,3
1.030286506,2,13,43,5,88,4
0.479715516,2,8,73,1,9,2
1.092448939,2,8,53,10,9,3
0.621496938,1,9,43,7,88,4
0.654158717,2,2,63,6,5,3
0.621496938,1,9,41,10,5,2
1.538708075,2,5,27,5,4,3
0.388573566,2,2,52,7,5,3
0.846971838,2,13,68,4,4,3
0.39744098,2,13,48,1,88,4
0.256851885,2,5,54,7,5,4
1.770567199,1,8,29,7,6,3
0.818052317,2,10,27,10,7,2
0.756727078,2,7,51,9,8,3
0.939310387,2,8,44,8,5,1
0.500603013,2,15,66,10,4,2
0.565495996,2,9,45,6,5,2
0.784478418,1,4,60,7,9,8
0.720162202,1,5,76,8,88,2
0.64190234,2,5,71,8,5,3
0.740355414,1,15,71,7,5,3
0.784478418,1,4,66,10,9,3
0.846971838,2,13,67,5,4,4
0.29348065,2,9,60,5,4,3
0.69358657,2,9,57,6,88,2
0.479715516,2,8,77,10,5,4
1.092448939,2,8,52,9,8,1
1.104881814,1,5,52,7,5,2
0.50230868,2,8,48,8,3,2
0.874792903,1,8,45,9,5,2
0.846971838,2,13,61,5,5,3
1.589132303,1,13,40,9,8,3
1.379259028,2,13,30,6,4,2
1.379259028,2,13,30,5,4,2
0.92149875,2,13,52,5,5,3
1.039391632,1,13,82,10,7,3
0.256851885,2,5,53,8,7,4
1.039391632,1,13,74,6,7,4
1.039391632,1,13,72,6,7,3
0.812395302,1,7,72,8,5,2
0.812395302,1,7,69,5,4,3
0.812395302,1,7,68,6,4,3
0.846971838,2,13,57,7,6,2
1.039391632,1,13,60,5,2,1
0.64190234,2,5,56,8,4,3
0.519663329,1,9,59,9,6,3
0.479715516,2,8,56,7,88,3
